symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-10-23 00:00:00+00:00,243.18,243.24,241.22,242.1,19932545,58.8310323988,58.8455478275,58.3568617289,58.5697546827,79730180,0.0,1.0
AAPL,2019-10-24 00:00:00+00:00,243.58,244.8,241.81,244.51,17916255,58.9278019233,59.2229489729,58.4995967775,59.1527910676,71665020,0.0,1.0
AAPL,2019-10-25 00:00:00+00:00,246.58,246.73,242.88,243.16,18369296,59.6535733568,59.6898619284,58.7584552555,58.8261939226,73477184,0.0,1.0
AAPL,2019-10-28 00:00:00+00:00,249.05,249.25,246.72,247.42,23655368,60.2511251703,60.2995099326,59.6874426903,59.8567893581,94621472,0.0,1.0
AAPL,2019-10-29 00:00:00+00:00,243.29,249.75,242.57,248.97,35709867,58.857644018,60.4204718381,58.683458874,60.2317712654,142839468,0.0,1.0
AAPL,2019-10-30 00:00:00+00:00,243.26,245.3,241.21,244.76,31130522,58.8503863037,59.3439108785,58.3544424908,59.2132720204,124522088,0.0,1.0
AAPL,2019-10-31 00:00:00+00:00,248.76,249.17,237.26,247.24,34790520,60.1809672651,60.2801560277,57.3988434367,59.8132430721,139162080,0.0,1.0
AAPL,2019-11-01 00:00:00+00:00,255.82,255.93,249.16,249.54,37781334,61.8889493719,61.9155609911,60.2777367896,60.3696678378,151125336,0.0,1.0
AAPL,2019-11-04 00:00:00+00:00,257.5,257.85,255.38,257.33,25817952,62.2953813747,62.3800547086,61.782502895,62.2542543268,103271808,0.0,1.0
AAPL,2019-11-05 00:00:00+00:00,257.13,258.19,256.32,257.05,19974427,62.2058695645,62.4623088044,62.0099112775,62.1865156596,79897708,0.0,1.0
AAPL,2019-11-06 00:00:00+00:00,257.24,257.49,255.37,256.77,18966124,62.2324811838,62.2929621366,61.7800836569,62.1187769925,75864496,0.0,1.0
AAPL,2019-11-07 00:00:00+00:00,259.43,260.35,258.11,258.74,23735083,62.9485756648,63.1718061686,62.6282884202,62.7811527869,94940332,0.77,1.0
AAPL,2019-11-08 00:00:00+00:00,260.14,260.44,256.85,258.69,17520495,63.1208513797,63.1936439353,62.3225596866,62.7690206943,70081980,0.0,1.0
AAPL,2019-11-11 00:00:00+00:00,262.2,262.47,258.28,258.3,20507459,63.6206935949,63.6862068949,62.669537535,62.674390372,82029836,0.0,1.0
AAPL,2019-11-12 00:00:00+00:00,261.96,262.79,260.92,261.55,21847226,63.5624595504,63.7638522875,63.3101120243,63.462976391,87388904,0.0,1.0
AAPL,2019-11-13 00:00:00+00:00,264.47,264.78,261.07,261.13,25817593,64.1714905989,64.246709573,63.3465083021,63.3610668132,103270372,0.0,1.0
AAPL,2019-11-14 00:00:00+00:00,262.64,264.88,262.1,263.75,22395556,63.7274560097,64.2709737582,63.5964294097,63.9967884655,89582224,0.0,1.0
AAPL,2019-11-15 00:00:00+00:00,265.76,265.78,263.01,263.68,25093666,64.484498588,64.489351425,63.817233495,63.9798035358,100374664,0.0,1.0
AAPL,2019-11-18 00:00:00+00:00,267.1,267.43,264.23,265.8,21700897,64.8096386697,64.8897104808,64.1132565544,64.4942042621,86803588,0.0,1.0
AAPL,2019-11-19 00:00:00+00:00,266.29,268.0,265.39,267.9,19069597,64.6130987695,65.0280163365,64.3947211027,65.0037521513,76278388,0.0,1.0
AAPL,2019-11-20 00:00:00+00:00,263.19,266.08,260.4,265.54,26609919,63.8609090283,64.5621439806,63.1839382612,64.4311173805,106439676,0.0,1.0
AAPL,2019-11-21 00:00:00+00:00,262.01,264.01,261.18,263.69,30348778,63.574591643,64.059875347,63.3731989058,63.9822299543,121395112,0.0,1.0
AAPL,2019-11-22 00:00:00+00:00,261.78,263.18,260.84,262.59,16331263,63.518784017,63.8584826098,63.2907006761,63.7153239171,65325052,0.0,1.0
AAPL,2019-11-25 00:00:00+00:00,266.37,266.44,262.52,262.71,21029517,64.6325101177,64.6494950473,63.6983389875,63.7444409394,84118068,0.0,1.0
AAPL,2019-11-26 00:00:00+00:00,264.29,267.16,262.5,266.94,26334882,64.1278150655,64.8241971808,63.6934861505,64.7708159733,105339528,0.0,1.0
AAPL,2019-11-27 00:00:00+00:00,267.84,267.98,265.31,265.58,16386122,64.9891936401,65.0231634994,64.3753097546,64.4408230546,65544488,0.0,1.0
AAPL,2019-11-29 00:00:00+00:00,267.25,268.0,265.9,266.6,11654363,64.8460349475,65.0280163365,64.5184684473,64.6883177437,46617452,0.0,1.0
AAPL,2019-12-02 00:00:00+00:00,264.16,268.25,263.45,267.27,23693550,64.0962716248,65.0886767995,63.9239959099,64.8508877845,94774200,0.0,1.0
